reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	multimapped	multimapped_percentage	fastq_name	Mismatches
39253248.0	35627597.0	90.76	3625651.0	9.24	23643.0	0.06	BA1_CA1_olf_1_1	1
23926934.0	21180201.0	88.52	2746733.0	11.48	19029.0	0.08	BA1_CA1_olf_2_1	1
27870889.0	24966859.0	89.58	2904030.0	10.42	16319.0	0.06	BA1_CA1_olf_3_1	1
30234599.0	25864759.0	85.55	4369840.0	14.45	20466.0	0.07	BA1_CA1_olf_4_1	1
36724906.0	31694935.0	86.3	5029971.0	13.7	26613.0	0.07	BA1_CA1_olf_5_1	1
33005830.0	28139273.0	85.26	4866557.0	14.74	23680.0	0.07	BA1_CA1_olf_6_1	1
30810719.0	26546623.0	86.16	4264096.0	13.84	24717.0	0.08	BA1_CA1_olf_7_1	1
27113663.0	23142094.0	85.35	3971569.0	14.65	22793.0	0.08	BA1_CA1_olf_8_1	1
31803710.0	25132786.0	79.02	6670924.0	20.98	59937.0	0.19	BA1_CA1_cor_22_1	1
20733996.0	13455485.0	64.9	7278511.0	35.1	35666.0	0.17	BA1_CA1_cor_23_1	1
23674403.0	18397973.0	77.71	5276430.0	22.29	55630.0	0.23	BA1_CA1_cor_24_1	1
26307056.0	17831538.0	67.78	8475518.0	32.22	44840.0	0.17	BA1_CA1_cor_25_1	1
25285454.0	18600755.0	73.56	6684699.0	26.44	40679.0	0.16	BA1_CA1_cor_26_1	1
12851636.0	9259789.0	72.05	3591847.0	27.95	17298.0	0.13	BA1_CA1_cor_27_1	1
29319396.0	23365142.0	79.69	5954254.0	20.31	49091.0	0.17	BA1_CA1_cor_28_1	1
18384447.0	13095222.0	71.23	5289225.0	28.77	24051.0	0.13	BA1_CA1_cor_29_1	1
42205981.0	36547728.0	86.59	5658253.0	13.41	35370.0	0.08	BA2_CA1_olf_17_1	1
22544580.0	19277385.0	85.51	3267195.0	14.49	20120.0	0.09	BA2_CA1_olf_18_1	1
22590925.0	19471532.0	86.19	3119393.0	13.81	15469.0	0.07	BA2_CA1_olf_19_1	1
25670610.0	21289623.0	82.93	4380987.0	17.07	16290.0	0.06	BA2_CA1_olf_20_1	1
34132330.0	29680768.0	86.96	4451562.0	13.04	21872.0	0.06	BA2_CA1_olf_21_1	1
30818498.0	25505977.0	82.76	5312521.0	17.24	25698.0	0.08	BA2_CA1_olf_22_1	1
35547573.0	30246569.0	85.09	5301004.0	14.91	28606.0	0.08	BA2_CA1_olf_23_1	1
23266703.0	19169299.0	82.39	4097404.0	17.61	16449.0	0.07	BA2_CA1_olf_24_1	1
21041787.0	17233010.0	81.9	3808777.0	18.1	31526.0	0.15	BA2_CA1_cor_30_1	1
15837229.0	11775421.0	74.35	4061808.0	25.65	20798.0	0.13	BA2_CA1_cor_31_1	1
17800915.0	14135856.0	79.41	3665059.0	20.59	31641.0	0.18	BA2_CA1_cor_32_1	1
17974202.0	13506166.0	75.14	4468036.0	24.86	27587.0	0.15	BA2_CA1_cor_33_1	1
21551519.0	16821815.0	78.05	4729704.0	21.95	29350.0	0.14	BA2_CA1_cor_34_1	1
12914123.0	9855582.0	76.32	3058541.0	23.68	17009.0	0.13	BA2_CA1_cor_35_1	1
25808507.0	21308541.0	82.56	4499966.0	17.44	30684.0	0.12	BA2_CA1_cor_36_1	1
14817292.0	10860240.0	73.29	3957052.0	26.71	20762.0	0.14	BA2_CA1_cor_37_1	1
26876518.0	23714862.0	88.24	3161656.0	11.76	18968.0	0.07	BA3_CA1_olf_33_1	1
23633195.0	20664738.0	87.44	2968457.0	12.56	20596.0	0.09	BA3_CA1_olf_34_1	1
24433887.0	21290676.0	87.14	3143211.0	12.86	16856.0	0.07	BA3_CA1_olf_35_1	1
23115597.0	17587979.0	76.09	5527618.0	23.91	16725.0	0.07	BA3_CA1_olf_36_1	1
37527392.0	32067206.0	85.45	5460186.0	14.55	25811.0	0.07	BA3_CA1_olf_37_1	1
